-1.8876,-7.0082,-3.514,0.44325,2.1328,11.537,-2.59,-1.6737,-0.92475,7.4124,-3.6615,-0.0037097,1.0503,-1.3121,1
0.30585,-4.1364,2.5293,0.46088,2.216,7.9678,-5.3971,-1.6034,-4.0032,0.3458,-3.3335,4.7678,-0.69724,0.57667,1
-0.17329,-2.4878,2.4724,1.1577,5.9067,8.3383,-8.484,-3.0695,-3.3815,0.9013,-4.7896,2.0128,2.1208,-0.52253,1
3.2827,2.5469,8.3679,0.5382,-0.69068,-0.69359,-3.0026,-11.943,-7.1647,4.2123,-5.4481,6.8373,1.97,1.1872,1
6.5873,-3.0264,14.165,0.74604,-2.2505,-8.8427,-5.1877,-14.209,-11.85,-1.0285,-3.6919,20.12,0.9425,7.5236,1
3.728,-10.391,8.7194,1.5468,2.2721,-4.3425,-10.14,-7.5725,-8.4492,-1.9166,-2.8511,18.272,3.5477,7.5758,1
1.4889,-6.9187,5.5493,1.9757,-1.6979,-2.0307,-3.9052,-8.1686,-7.8055,2.7011,-4.3023,11.417,7.6904,4.007,1
8.8978,0.81368,19,-0.12341,-13.065,-12.966,6.7528,-16.601,-15.44,-1.3476,-7.9897,25.532,-0.78265,7.3184,1
18.377,5.4941,36.981,-2.593,-13.897,-17.492,4.5393,-22.417,-23.515,-12.849,-14.287,45.493,-16.091,12.257,1
9.7638,-2.9837,19.282,-1.0354,1.914,-5.3735,-13.454,-13.363,-13.939,-1.3633,-5.1424,25.241,-8.3873,8.8415,1
-1.4462,-7.6617,-2.4459,1.5553,6.9486,3.0975,-14.343,-6.1309,-3.2717,10.417,4.2866,-0.16339,6.4028,2.7542,1
1.0815,-6.285,3.2568,0.53409,-4.3702,-1.8921,-4.6982,-6.3906,-3.7375,6.535,-0.38882,7.8328,4.8637,3.6591,1
0.27733,-9.3091,1.1803,0.11009,-3.1913,-4.2959,-10.053,0.19899,-0.25213,10.225,-1.5207,6.1559,6.9283,3.5457,1
0.13876,0.88129,1.0712,0.067618,0.3469,-7.8668,-10.37,-1.0943,1.4445,11.122,-0.75212,-3.2151,7.9079,0.31881,1
2.6747,5.6785,7.8681,-0.037777,-1.4215,-7.8135,-12.254,-9.0275,-3.5246,8.3268,1.4593,0.81476,5.2503,2.0072,1
1.6299,2.4783,6.4297,0.72894,-2.578,-7.4389,-10.832,-6.9958,-6.5303,7.6638,3.012,2.293,7.1309,3.0081,1
3.1939,5.9716,8.3977,0.4929,-6.0478,-12.023,-0.56321,-6.719,-10.363,3.3942,1.7804,5.2545,4.1427,3.0896,1
2.3741,5.8041,6.1517,0.41809,-3.226,-5.5856,2.6037,-4.9066,-9.7558,0.36934,0.44406,3.5806,0.45427,1.2735,1
1.9717,9.0441,4.8572,-0.20005,-6.4555,-2.7485,12.435,-2.2006,-9.1156,-1.3096,-3.1587,1.2993,-2.6012,-1.8181,1
2.3962,8.5335,3.9909,-1.2599,-7.2911,-5.1784,13.094,1.1811,-4.7366,-1.2035,-3.9658,1.079,-4.6551,-1.9849,1
0.73817,4.837,1.6952,-0.65497,-1.1583,-1.5259,1.4459,2.3193,-2.465,2.5163,-2.4851,-2.1127,-1.315,-1.8326,1
2.1692,5.2532,6.8352,-0.56933,-0.92677,3.1108,-3.5023,-1.7885,-6.5353,2.3503,-4.758,2.091,-2.5166,-1.2153,1
1.4748,-0.23888,3.3247,-0.74792,3.4113,10.063,-4.4633,-1.7693,-5.5892,3.4692,-4.592,2.9188,-6.2173,-1.0423,1
1.402,-4.1772,-1.6042,-2.2747,4.5628,11.278,-0.16125,1.0372,1.1711,5.182,-5.3935,2.312,-11.727,-1.6075,1
-0.74777,-6.4236,-3.647,-1.4401,-1.1813,8.0424,-0.21826,3.261,2.356,8.7937,-4.1527,0.38943,-3.5965,-1.4331,1
